Run,Altitude,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,env_biome,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue
SRR7222921,1299 m,OTHER,85,114329760,PRJNA473221,SAMN09268114,Invertebrate,44436724,UNIVERSITY OF ALABAMA,2016-07-31,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129425,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3065,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3065,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3065-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222922,1299 m,OTHER,85,143022445,PRJNA473221,SAMN09268113,Invertebrate,54008926,UNIVERSITY OF ALABAMA,2016-07-31,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129424,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3064,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3064,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3064-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222923,1299 m,OTHER,85,145144300,PRJNA473221,SAMN09268112,Invertebrate,55682496,UNIVERSITY OF ALABAMA,2016-07-31,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129423,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3063,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3063,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3063-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222924,1299 m,OTHER,85,163405870,PRJNA473221,SAMN09268119,Invertebrate,60524281,UNIVERSITY OF ALABAMA,2016-07-31,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129422,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3070,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3070,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3070-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222925,1299 m,OTHER,85,149670295,PRJNA473221,SAMN09268118,Invertebrate,55675138,UNIVERSITY OF ALABAMA,2016-07-31,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129421,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3069,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3069,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3069-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222926,1299 m,OTHER,85,138254710,PRJNA473221,SAMN09268117,Invertebrate,52441617,UNIVERSITY OF ALABAMA,2016-07-31,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129420,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3068,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3068,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3068-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222927,1299 m,OTHER,85,137224595,PRJNA473221,SAMN09268116,Invertebrate,53156553,UNIVERSITY OF ALABAMA,2016-07-31,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129419,USA,North America,USA:Washington,Illumina HiSeq 4000,JDL3067,Wenatachee N.F. FR 6700,47.80413 N 121.06815 W,JDL3067,SINGLE,Reduced Representation,GENOMIC,Bombus bifarius,ILLUMINA,2019-01-01T00:00:00Z,JDL3067-WA16-2016--Bb,female,SRP149031,Thorax muscle
SRR7222928,2164 m,OTHER,85,128904710,PRJNA473221,SAMN09268290,Invertebrate,83520676,UNIVERSITY OF ALABAMA,2013-07-03,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129418,USA,North America,USA:California,Illumina HiSeq 2000,JDL628,Donner Pass,39.31613 N 120.32617 W,JDL628,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL628-CA11-2013--Bv,female,SRP149031,Thorax muscle
SRR7222929,2164 m,OTHER,85,158542935,PRJNA473221,SAMN09268291,Invertebrate,95406640,UNIVERSITY OF ALABAMA,2013-07-03,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129417,USA,North America,USA:California,Illumina HiSeq 2000,JDL629,Donner Pass,39.31613 N 120.32617 W,JDL629,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL629-CA11-2013--Bv,female,SRP149031,Thorax muscle
SRR7222930,1215 m,OTHER,85,249341890,PRJNA473221,SAMN09268270,Invertebrate,153411445,UNIVERSITY OF ALABAMA,2013-07-02,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129416,USA,North America,USA:California,Illumina HiSeq 2000,JDL602,"Yosemite NP\, Yosemite Valley",37.72451 N 119.64087 W,JDL602,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL602-CA09-2013--Bv,female,SRP149031,Thorax muscle
SRR7222931,2164 m,OTHER,85,171365695,PRJNA473221,SAMN09268287,Invertebrate,105934134,UNIVERSITY OF ALABAMA,2013-07-03,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129415,USA,North America,USA:California,Illumina HiSeq 2000,JDL625,Donner Pass,39.31613 N 120.32617 W,JDL625,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL625-CA11-2013--Bv,female,SRP149031,Thorax muscle
SRR7222932,2164 m,OTHER,85,214589300,PRJNA473221,SAMN09268288,Invertebrate,133943579,UNIVERSITY OF ALABAMA,2013-07-03,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129414,USA,North America,USA:California,Illumina HiSeq 2000,JDL626,Donner Pass,39.31613 N 120.32617 W,JDL626,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL626-CA11-2013--Bv,female,SRP149031,Thorax muscle
SRR7222933,2164 m,OTHER,85,134199615,PRJNA473221,SAMN09268289,Invertebrate,82859712,UNIVERSITY OF ALABAMA,2013-07-03,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129413,USA,North America,USA:California,Illumina HiSeq 2000,JDL627,Donner Pass,39.31613 N 120.32617 W,JDL627,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL627-CA11-2013--Bv,female,SRP149031,Thorax muscle
SRR7222934,2164 m,OTHER,85,139407310,PRJNA473221,SAMN09268282,Invertebrate,90314277,UNIVERSITY OF ALABAMA,2013-07-03,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129412,USA,North America,USA:California,Illumina HiSeq 2000,JDL620,Donner Pass,39.31613 N 120.32617 W,JDL620,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL620-CA11-2013--Bv,female,SRP149031,Thorax muscle
